id,bill_id,related_bill_id,identifier,legislative_session,relation_type
9aea4d1a-1c79-4cf3-b4b9-08a6c1775a29,ocd-bill/e5e2c88b-8b6c-473b-ae28-0b67adb9583d,ocd-bill/a1db9acf-6a24-400a-96d0-0caeee42963f,HD 5275,194th,replaces
d8ff5cab-69ba-4c92-a5ce-739d01c36a42,ocd-bill/21abc202-4843-44af-a4d6-f7c3610e0394,,HD 5023,194th,replaces
53b7c576-5a16-42b5-b7ea-4323febd1fc7,ocd-bill/15dcf9a5-62df-477f-8313-2d5665ac56b7,ocd-bill/0d958016-45f9-43b6-9e7f-1e4bf72c8fb9,SD 3035,194th,replaces
857be15c-6976-405c-bcbb-84185927301a,ocd-bill/ff6e3bfe-6633-4383-b542-784cbbf8d3d7,ocd-bill/abeffbb5-7f41-46f4-8e39-732d17a029e1,HD 4810,194th,replaces
7c71f8e3-35f4-4edd-ba63-cb7acc60184f,ocd-bill/72938dd0-da26-49ef-980b-e9e05b9454f8,ocd-bill/bac5c237-aeef-4a79-81e6-c67e9886c2b7,HD 5009,194th,replaces
77dd9570-28c8-4b91-8566-1410bc6e5800,ocd-bill/fa021684-2659-477b-afcc-e7bf7e211379,ocd-bill/02d95fdb-9004-481d-8fb0-3548b845794f,HD 5013,194th,replaces
beb75fcd-b89f-4bca-b3af-72b3d5d6ab6e,ocd-bill/1b52559a-f7d5-4bfc-97f1-9e5061f2047e,ocd-bill/610b543c-b02c-4a4a-84fa-7e78241b04de,SD 3040,194th,replaces
09e8e6dc-05a6-422a-95bf-79bf2c7c0fa8,ocd-bill/98806d9b-68c4-48fe-994f-a706d4706304,,SD 1943,194th,replaces
33e8b99d-5539-4e50-a8a8-122469185e58,ocd-bill/1199fe82-adbd-40c3-a4a0-257a99097a9a,,HD 5293,194th,replaces
ab63bffe-edd9-486b-a187-19a147fd3d3a,ocd-bill/e25df613-add6-41b9-b765-4a3bdced5fd8,ocd-bill/0e4ed22c-71fe-4749-ac86-f2ffd786c8f2,HD 5274,194th,replaces
fa967699-2b83-44b5-be89-3bbac8162dcd,ocd-bill/2972fbaf-ba72-4ad2-858f-6de391a42c42,ocd-bill/b08bda4f-63c5-4716-98bc-48194a0197cc,HD 5276,194th,replaces
213dcd57-e416-492a-8f73-af4adb244781,ocd-bill/0cecd61f-2798-4cc8-8577-7068d79063b6,ocd-bill/0a8f078c-aa42-40ce-b04f-cf77e93ab55b,HD 4277,194th,replaces
