id,bill_id,abstract,note
c1dc48a0-cdfc-45a9-93b1-e8a31faecbb8,ocd-bill/c0a705b0-c861-445c-8fa9-a5ef550f65c9,"By Ms. Lovely, a petition (accompanied by bill, Senate, No. 2815) (subject to Joint Rule 12) of Joan B. Lovely for legislation to eliminate the statute of limitation in civil child sexual abuse cases.  The Judiciary.",summary
1c350251-d6f1-4001-a006-55d8ec8ec225,ocd-bill/992a2f8b-c446-4250-8f45-18bb48a1a0d3,"By Mr. Crighton, a petition (accompanied by bill, Senate, No. 2817) (subject to Joint Rule 12) of Brendan P. Crighton, Peter Capano, Lori A. Ehrlich and Daniel Cahill for legislation relative to an easement in Lynn.  State Administration and Regulatory Oversight.",summary
b86215f0-fc50-4126-9d30-dd6e57eb7991,ocd-bill/e75e6955-926d-46f8-8e50-09d7e923e58d,"By Ms. Chandler, a petition (accompanied by bill) (subject to Joint Rule 12) of Harriette L. Chandler and Kimberly N. Ferguson for legislation to establish a sick leave bank for George Monfreda, an employee of the Worcester Recovery Center and Hospital.  Public Service.",summary
63f787f8-9867-4314-bf54-ef6f8c6dae9c,ocd-bill/3ab7a447-e645-42d6-89b9-02b233619e71,"By Mr. Crighton, a petition (accompanied by bill, Senate, No. 2816) (subject to Joint Rule 12) of Brendan P. Crighton, Daniel Cahill and Peter Capano for legislation to authorizing the Division of Capital Asset Management and Maintenance to grant an easement to the city of Lynn.  State Administration and Regulatory Oversight.",summary
18df8360-f58f-4341-ae37-0b7843c7bd99,ocd-bill/c960e2a9-93d7-4bb7-93c8-11ea5beca0b6,"By Mr. Cabral of New Bedford, a petition (accompanied by bill, House, No. 737) of Antonio F. D. Cabral and others for legislation to create the department of marine fisheries resources.  Environment, Natural Resources and Agriculture.",summary
f8a7bc4e-2831-4e22-bf5e-4d2a5dff8a3d,ocd-bill/ddb4f6e3-dea0-44a4-a50f-3f6fe20445da,"By Mr. Boldyga of Southwick, a petition (accompanied by bill, House, No. 1355) of Nicholas A. Boldyga relative to trespassing or loitering on school grounds.  The Judiciary.",summary
ea8a588f-948e-40c7-b34c-f26652292466,ocd-bill/57fa9fe2-0997-4796-9ef8-7fb0e98da492,"By Mr. Linsky of Natick, a petition (accompanied by bill, House, No. 2089) of David Paul Linsky for legislation to clarify the definition of violent crimes in the law relative to firearm sales.  Public Safety and Homeland Security.",summary
f7aec85e-0e6c-4dcf-bb83-b6a1ba2a8392,ocd-bill/8d5f030f-7876-440e-880e-c3715f2a3e93,"By Mr. LeBoeuf of Worcester, a petition (subject to Joint Rule 12) of David Henry Argosky LeBoeuf and others for legislation to prohibit districts from shutting off water during the COVID-19 pandemic.  Municipalities and Regional Government.",summary
29397ba5-cf09-44d7-a033-47aca99005ae,ocd-bill/0fa3c774-45af-48f3-987a-3d3c1fb7518b,"Senate, June 25, 2020 -- The committee on Labor and Workforce Development to whom was referred the petition (accompanied by bill, Senate, No. 1090) of Jason M. Lewis, Steven Ultrino, Michelle M. DuBois and David Henry Argosky LeBoeuf for legislation to establish collective bargaining rights for TNC drivers, reports the accompanying bill (Senate, No. 2778).",summary
d8831d6d-dd7e-401d-bf41-d72dd9697e84,ocd-bill/85bf53f8-f1cd-4fa2-aee8-efe1b3d57a77,"Text of a further amendment, offered by Mr. Michlewitz of Boston, to the Senate amendment of the House Bill making appropriations for the fiscal year 2020 to authorize certain COVID-19 spending in anticipation of federal reimbursement (House, No. 4808). July 13, 2020.",summary
