id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/2f67c570-7241-4309-ab86-c62cd0281ee4,H 1631,An Act establishing a property tax exemption for members of the National Guard,['bill'],[],190th,Massachusetts,lower
ocd-bill/c5e6a73e-c2a9-4cfe-aff5-c9fa68ba94a7,H 796,An Act clarifying the removal statute,['bill'],[],190th,Massachusetts,lower
ocd-bill/9535ea52-d09b-4df7-bc48-b53f9b5c70bd,H 2896,An Act regulating certain activities at polling places,['bill'],[],190th,Massachusetts,lower
ocd-bill/30568a6f-a7fd-42ae-93a4-83fb44054abe,H 2101,An Act relative to election emergency,['bill'],[],190th,Massachusetts,lower
ocd-bill/9229e970-480e-4c1e-9566-3404229aef28,S 1182,An Act relative to the safe treatment of pain,['bill'],[],190th,Massachusetts,upper
ocd-bill/b2368975-c5e3-4d52-9248-f599349e9794,H 4248,An Act authorizing the sale of certain property located at 616 Towne Street in the town of North Attleborough,['bill'],[],190th,Massachusetts,lower
ocd-bill/a575a623-c37c-4e2c-bc50-f558b5a84b7d,H 1564,An Act relative to fairness during the phase-in of condominium development,['bill'],[],190th,Massachusetts,lower
ocd-bill/273927a5-a605-41ff-9c44-2e13bc6dcf41,S 1267,An Act relative the registration of virtual manufacturers,['bill'],[],190th,Massachusetts,upper
ocd-bill/59a19bf3-fd80-47e3-bd13-95796b470809,H 4240,An Act authorizing the Division of Capital Asset Management and Maintenance to convey certain parcels to the town of Shrewsbury,['bill'],[],190th,Massachusetts,lower
ocd-bill/c742c464-e745-4666-b6db-ed68d025bb3b,H 2647,An Act reforming economic substance rules,['bill'],[],190th,Massachusetts,lower
ocd-bill/600832ea-ca93-45b7-a87b-110b0a8c2875,H 2667,An Act requiring government neutrality in all public construction projects,['bill'],[],190th,Massachusetts,lower
ocd-bill/a1b9b1d8-ae3d-415c-b0a3-2475629eeae6,H 3175,An Act to protect children from the use of alcohol and marijuana,['bill'],[],190th,Massachusetts,lower
ocd-bill/79496944-d86f-4994-a3e5-64fc6d2a2c17,H 2291,An Act relative to repeat drunk driving offenders,['bill'],[],190th,Massachusetts,lower
